Bank_Name;LicenseNumber;Region;Deposits
Автоторгбанк;2776;Москва и обл.;506360
МТИ Банк;1052;Москва и обл.;497874
Крона-Банк;2499;Иркутская обл.;493663
Нальчик;695;Кабардино-Балкария;482194
Русьуниверсалбанк;3293;Москва и обл.;436032
Вакобанк;1291;Псковская обл.;406087
Бланк Банк;2368;Москва и обл.;402551
Дон-Тексбанк;1818;Ростовская обл.;401980
Курган;2568;Курганская обл.;364314
Соколовский;2830;Москва и обл.;356712
ЕАТП Банк;1765;Астраханская обл.;352186
Саратов;330;Саратовская обл.;349056
Народный Доверительный Банк;2374;Москва и обл.;337903
Национальный Банк Сбережений;1949;Ивановская обл.;328844
Ермак;1809;Ханты-Мансийский АО — Югра;327633
Консервативный Коммерческий Банк;1087;Астраханская обл.;322623
АвтоКредитБанк;1973;Татарстан;320672
Ури Банк;3479;Москва и обл.;313179
Столичный Кредит;2853;Москва и обл.;309910
ИК Банк;1732;Татарстан;298743
Сервис Резерв;2034;Москва и обл.;291930
Новокиб;1747;Кемеровская обл.;290806
Мурманский Социальный Коммерческий Банк;2722;Мурманская обл.;278286
Химик;1114;Нижегородская обл.;275630
Новый Московский Банк;2932;Москва и обл.;272244
Денизбанк Москва;3330;Москва и обл.;270420
Чайна Констракшн;3515;Москва и обл.;262278
Ноосфера;2650;Республика Алтай;245551
Агора;3231;Москва и обл.;243162
Балаково-Банк;444;Саратовская обл.;233221
Космос;2245;Москва и обл.;231113
Сити Инвест Банк;3194;Санкт-Петербург и обл.;205291
Объединенный Банк Республики;1016;Чувашия;203831
Икано Банк;3519;Москва и обл.;201565
Система;2846;Москва и обл.;201205
Банк РСИ;3415;Москва и обл.;198002
Классик Эконом Банк;3298;Северная Осетия — Алания;196481
МБА-Москва;3395;Москва и обл.;179230
Республиканский Кредитный Альянс;3017;Москва и обл.;176245
Капитал;575;Москва и обл.;173111
Торжок (бывш. Торжокуниверсалбанк);933;Тверская обл.;172384
Викинг;2;Санкт-Петербург и обл.;163770
Вайлдберриз Банк;841;Москва и обл.;148978
Банк РМП;2574;Москва и обл.;130352
Земкомбанк;574;Ростовская обл.;129085
Траст;3279;Москва и обл.;126722
Спецстройбанк;236;Москва и обл.;121534
Алтынбанк;2070;Татарстан;119673
Экси-Банк;2530;Санкт-Петербург и обл.;96494
Дружба;990;Тюменская обл.;88291
Мидзухо Банк;3337;Москва и обл.;85292
Киви Банк;2241;Москва и обл.;74594
РБА;3413;Москва и обл.;51194
АйСиБиСи Банк;3475;Москва и обл.;47471
Таганрогбанк;3136;Ростовская обл.;45551
Гефест;1046;Тверская обл.;42966
Модульбанк;1927;Костромская обл.;41071
Русский Банк Сбережений;779;Ставропольский край;37868
МВС Банк;2407;Дагестан;35445
Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;33211
Народный Инвестиционный Банк;2876;Самарская обл.;28788
Бест Эффортс Банк;435;Москва и обл.;19493
Яндекс Банк;3027;Москва и обл.;5917
СЭБ Банк;3235;Санкт-Петербург и обл.;4851
Металлург;2877;Москва и обл.;1702
Прокоммерцбанк;2996;Москва и обл.;630
Славянбанк;804;Новгородская обл.;614
Севзапинвестпромбанк;2152;Санкт-Петербург и обл.;309
Банк Кредит Свисс;2494;Москва и обл.;161
Синергия;2884;Саратовская обл.;80
Альтернатива;3452;Москва и обл.;51
Унифондбанк;3416;Москва и обл.;18
Рента-Банк;3095;Москва и обл.;6
Азия-Инвест Банк;3303;Москва и обл.;0
Америкэн Экспресс Банк;3460;Москва и обл.;0
Банк 131;3538;Татарстан;0
Банк Берейт;3505;Санкт-Петербург и обл.;0
БМВ Банк;3482;Москва и обл.;0
БНП Париба Банк;3407;Москва и обл.;0
Вестерн Юнион ДП Восток;2726;Москва и обл.;0
Голдман Сакс Банк;3490;Москва и обл.;0
Дальний Восток;3318;Приморский край;0
Деньги.Мэйл.Ру;3511;Москва и обл.;0
Дж. П. Морган Банк;2629;Москва и обл.;0
Дойче Банк;3328;Москва и обл.;0
Единая касса;3512;Москва и обл.;0
Единая Расчетная Палата;384;Москва и обл.;0
Индустриальный Сберегательный Банк;3175;Москва и обл.;0
Инкахран;3454;Москва и обл.;0
Инэко;3520;Ивановская обл.;0
Коммерцбанк (Евразия);3333;Москва и обл.;0
Коммерческий Индо Банк;3446;Москва и обл.;0
Континенталь;3184;Ставропольский край;0
Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;0
КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;0
Лэнд Кредит;1478;Москва и обл.;0
Максима;3379;Москва и обл.;0
Межбанковский Кредитный Союз;3242;Москва и обл.;0
Мерседес-Бенц Банк Рус;3473;Москва и обл.;0
Моби.Деньги;3523;Москва и обл.;0
Мобильная карта;3522;Санкт-Петербург и обл.;0
Монета.ру;3508;Марий Эл;0
МСП Банк;3340;Москва и обл.;0
Мурманский Расчетный Центр;3341;Мурманская обл.;0
Натиксис Банк;3390;Москва и обл.;0
Национальная Факторинговая Компания;3437;Москва и обл.;0
Национальный Клиринговый Центр;3466;Москва и обл.;0
Национальный Расчетный Депозитарий;3294;Москва и обл.;0
Озон Банк;3516;Москва и обл.;0
Первый Клиентский Банк;3436;Москва и обл.;0
Перспектива;3532;Омская обл.;0
Петербургский Расчетный Центр;3306;Санкт-Петербург и обл.;0
Платежи и Расчеты;3324;Самарская обл.;0
Платежный Центр;3166;Новосибирская обл.;0
Промсвязьинвест;2761;Дагестан;0
ПэйПал Ру;3517;Москва и обл.;0
ПэйЮ;3518;Москва и обл.;0
Р-Инкас;3536;Москва и обл.;0
Расчетные Решения;3524;Москва и обл.;0
Росэксимбанк;2790;Москва и обл.;0
РусьРегионБанк;685;Москва и обл.;0
Санкт-Петербургский Банк Инвестиций;3468;Санкт-Петербург и обл.;0
Северстройбанк;3507;Вологодская обл.;0
Сумитомо Мицуи Рус Банк;3494;Москва и обл.;0
Тайдон;2085;Кемеровская обл.;0
Фольксваген Банк Рус;3500;Москва и обл.;0
Холмск;503;Сахалинская обл.;0
Чайнасельхозбанк;3529;Москва и обл.;0
Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;0
Элексир;3533;Москва и обл.;0
Элекснет;3314;Москва и обл.;0
Элплат;3535;Удмуртия;0
Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;0
Ю Би Эс Банк;3463;Москва и обл.;0
ЮMoney;3510;Россия;0
Юнистрим;3467;Москва и обл.;0
